"sku序列 
SKU CODE","中文名 
Tên tiếng Trung",英文/越文名 Tên tiếng Việt,品类 Loại sp,厂商 NXB,规格 Thông số,,,,"仓库名
Tên kho","入库人
Người nhập kho","入库时间
Thời gian","剩余库存/盒
Tồn kho (hộp)","剩余库存/包
Tồn kho (Pack)"
,,,,,箱 Thùng,盒/箱 Hộp,包/盒 Pack,总包数 Tổng pack,,,,,
10001,《东株社》宝可梦水晶砖,Pokemon,Thẻ hộp/卡砖,东株社,1,50,1,50,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10002,MoonCard月卡《美少女战士》第三弹,Moon Card Sailor Moon,Card/卡牌,MoonCard月卡,1,36,13,468,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,Card/卡牌,DUO米,2,36,13,936,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10004,初见花海咒术回战第一弹,Jujutsu vol 1,Card/卡牌,贝贝文创,1,180,1,180,G层仓库,Hoàng 范范,2025.10.15,27.0,27
10005,椿柚文创宫崎骏 被风吹散的秘密邮票第一弹,Gibli Wind,Card/邮票,椿柚文创,1,100,1,100,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10006,云映文化「云之境の夏」第二弹·宫崎骏珍藏卡牌,Mây và Hạ,Card/卡牌,云映文化,2,36,13,936,G层仓库,Hoàng 范范,2025.10.15,-5.0,-65
10007,kawaii宫崎骏梦幻之国,Kawaii Gibli,Card/卡牌,kawaii,2,36,13,936,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10008,XWork美少女战士-璀璨之梦,X work Sailor Moon,Card/卡牌,XWork,2,36,10,720,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10009,万画云游三丽鸥家族百变cos收藏卡,Vancard Sanrio,Card/卡牌,万画云游,1,24,10,240,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10010,玩的入迷-魔卡少女樱第一弹—樱之绮遇,Wamder Roaming Sakura,Card/卡牌,玩的入迷,1,36,13,468,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10011,灿卡文创宫崎骏第二弹《花涧物语》,Gibli Hoa,Card/卡牌,灿卡文创,2,36,13,936,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10012,卡文化进击的巨人,Attack on Titan,Card/卡牌,卡文化,1,48,30,1440,G层仓库,Hoàng 范范,2025.10.15,10.0,300
10013,皇卡 × 鬼灭《血月之契》篇决战无限城收藏卡,Kny Hoàng Card,Card/卡牌,皇卡,2,36,12,864,G层仓库,Hoàng 范范,2025.10.15,47.3,568
10014,星梦文创-Studio Ghibli宫崎骏撕撕乐系列,Tinh Mộng Gibli thẻ xé,Thẻ xé/撕撕乐,星梦文创,2,100,3,600,G层仓库,Hoàng 范范,2025.10.15,5.0,15
10015,梦绘文创-宫崎骏第二弹,MH Gibli,Card/卡牌,梦绘文创,1,36,12,432,G层仓库,Hoàng 范范,2025.10.15,1.0,12
10016,思梨普文创《hey!国王陛下》集换式艺术家典藏卡,Quàng Thượng,Card/卡牌,思梨普文创,2,36,10,720,G层仓库,Hoàng 范范,2025.10.15,-2.5,-25
10017,梦境-美少女战士第一弹,Mộng cảnh Sailor Moon,Card/卡牌,梦境,1,36,13,468,G层仓库,Hoàng 范范,2025.10.15,0.0,0
10019,谷子力量 x 竹烟波月亚克力透卡,Goods Power TQTP,Thẻ bự/色纸,谷子力量,1,150,1,150,G层仓库,Hoàng 范范,2025.10.17,0.0,0
10020,集卡社小樱,Sakura Card Fun,Card/卡牌,集卡社,1,36,16,576,G层仓库,Hoàng 范范,2025.10.17,0.0,0
10021,新谷动漫名侦探柯南·仲夏夜之恋邮票集,Shingu Conan phiếu tem,Phiếu tem/邮票,新谷动漫,2,25,5,250,G层仓库,Hoàng 范范,2025.10.17,11.0,55
10022,【耀光·美少女战士】长卡卡砖,Sailor Shining,Thẻ hộp/卡砖,耀光,1,24,8,192,G层仓库,Hoàng 范范,2025.10.17,0.0,0
10023,风信文创尘世相逢之约星光来信原神邮票第一弹,Tinh quang Genshin,Phiếu tem/邮票,风信文创,1,100,1,100,G层仓库,Hoàng 范范,2025.10.17,20.0,20
10024,漫影工作室-柯南-A5 大卡第一弹,Conan đám cưới A5 vol 1,Thẻ bự/色纸,漫影工作室,1,50,1,50,G层仓库,Hoàng 范范,2025.10.17,13.0,13
10025,君屹文化耽美古风收藏新纪元《言辞忆梦》撕撕乐,Quân sơn TQTP,Thẻ xé/撕撕乐,君屹文化,2,300,1,600,G层仓库,Hoàng 范范,2025.10.17,0.0,0
10026,星恋文创·恋与深空《晦明交错之间》亚克力相框卡,Hải Minh LnD,Thẻ bự/色纸,星恋文创,2,100,1,200,G层仓库,Hoàng 范范,2025.10.17,29.0,29
10027,深空绘约文创我不爱世界只爱你邮票撕拉卡,LnD phiếu tem,Phiếu tem/邮票,深空绘约文创,1,30,6,180,G层仓库,Hoàng 范范,2025.10.17,30.0,180
10028,潮玩咔原神 尘世收藏卡,Trendy Toyka Genshin,Card/卡牌,潮玩咔,1,36,13,468,G层仓库,Hoàng 范范,2025.10.17,5.0,65
10029,樱花屋魔卡少女樱,Sakura House,Card/卡牌,樱花屋,1,49,12,588,G层仓库,Hoàng 范范,2025.10.17,-6.8,-81
10030,梦影动漫黑执事-典藏版收藏卡牌,Mộng ảnh Hắc Quản Gia,Card/卡牌,梦影动漫,1,36,12,432,G层仓库,Hoàng 范范,2025.10.17,0.0,0
10031,胜卡文创x魔道祖师云深不忘邮票评级卡砖,SK MĐTS phiếu tem,Phiếu tem/邮票,胜卡文创,2,12,10,240,G层仓库,Hoàng 范范,2025.10.17,2.0,20
10032,绘心阁《魔道祖师—殊途同归》色纸卡牌,Huixin MĐTS,Thẻ bự/色纸,绘心阁,2,180,1,360,G层仓库,Hoàng 范范,2025.10.17,0.0,0
10033,慕光文创「一千次心动」系列撕撕乐,LnD thẻ xé Ngàn lần động tâm,Thẻ xé/撕撕乐,慕光文创,2,150,1,300,G层仓库,Hoàng 范范,2025.10.17,199.0,199
10034,兰亭文创x墨家三宝典藏色纸砚池春深系列,Lan Đình A6 tổng hợp,Thẻ bự/色纸,兰亭文创,2,120,1,240,G层仓库,Hoàng 范范,2025.10.17,0.0,0
10035,KK CARD × 新海诚系列第一弹,KK card Shinkai Makoto vol 1,Card/卡牌,KK CARD,2,36,14,1008,G层仓库,Hoàng 范范,2025.10.17,9.0,126
10036,《研卡文创》第三弹收藏色纸,Yanka LnD,Thẻ bự/色纸,研卡文创,2,20,6,240,G层仓库,Hoàng 范范,2025.10.17,30.0,180
10037,磁吸邮票《咪咕咪咕&魔卡少女樱》,Madhouse Sakura phiếu tem,Phiếu tem/邮票,咪咕咪咕,1,100,1,100,G层仓库,Hoàng 范范,2025.10.17,0.0,0
10018,圣月美少女战士星尘协奏曲长卡,Sacred Sailor Moon,Card/卡牌,聖月,1,36,13,468,G层仓库,Hoàng 范范,2025.10.17,1.0,13
10038,浮光工作室❤第三弹【夏风吻过你的睫毛】,LnD Gió hạ từng hôn mi em,Card/卡牌,浮光工作室,2,80,1,160,G层仓库,Hoàng 范范,2025.10.17,51.0,51
10039,非凡航海王第五弹,OP Phi Phàm,Card/卡牌,非凡,15,48,20,14400,G层仓库,Hoàng 范范,2025.10.19,7.8,155
10040,酷卡文化-线条小狗3弹,Kuka Maltese,Card/卡牌,酷卡文化,2,36,11,792,G层仓库,Hoàng 范范,2025.10.19,2.5,27
10041,小熊工坊「原神」A6色纸,Bearie Genshin Impact,Thẻ bự/色纸,小熊工坊,1,100,1,100,G层仓库,Hoàng 范范,2025.10.19,0.0,0
10042,黄油小熊系列收藏卡第二弹 小熊的观察日记,Butterbear vol 2,Card/卡牌,玖人文化,2,24,16,768,G层仓库,Hoàng 范范,2025.10.19,0.0,0
10043,光恋XR-披荆斩棘-美少女战士,XR Sailor Moon,Card/卡牌,光恋XR,2,36,13,936,G层仓库,Hoàng 范范,2025.10.19,15.0,195
10044,源宇宙原神.空月の歌·周边CD票根邮票组合套装,Source University Genshin thẻ CD,Card/卡牌,源宇宙原神,1,100,1,100,G层仓库,Hoàng 范范,2025.10.19,2.0,2
