"sku序列 
SKU CODE","中文名 
Tên tiếng Trung","英文/越文名 
Tên tiếng Việt","数量/盒
SL hộp","整盒包数
SL (Pack/Tổng Hộp)","零散包数
Pack lẻ","主播
Từ Host","登记人
Người hoàn","回库日期
Ngày hoàn","回库时间
Thời gian",
10013,皇卡 × 鬼灭《血月之契》篇决战无限城收藏卡,Kny Hoàng Card,,0,36,Vi 小薇,Tum 阿庄,23/10/2025,18:48,
10013,皇卡 × 鬼灭《血月之契》篇决战无限城收藏卡,Kny Hoàng Card,3,36,44,Vi 小薇,Huệ 氏惠,24/10/2025,10:00,
10039,非凡航海王第五弹,OP Phi Phàm,5,100,21,Zenex,Trà My 茶梅,23/10/2025,8:56,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,5,65,,Thu Giang秋江,Hoàng Oanh黄莹,24/10/2025,21:20,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,5,65,,Hà 小河,Tum 阿庄,25/10/2025,22:55,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,1,13,13,Vi 小薇,Trà My 茶梅,25/10/2025,15:16,
10021,新谷动漫名侦探柯南·仲夏夜之恋邮票集,Shingu Conan phiếu tem,4,20,,Mimi,Tum 阿庄,26/10/2025,17:32,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,4,52,,Thu Giang秋江,Hoàng Oanh黄莹,26/10/2025,19:35,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,,0,85,Mimi,Tum 阿庄,26/10/2026,18:47,
10010,玩的入迷-魔卡少女樱第一弹—樱之绮遇,Wamder Roaming Sakura,5,65,24,Thùy 阿锤,Hoàng Oanh黄莹,26/10/2026,23:23,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,1,13,13,Như 小如,Trà My 茶梅,25/10/2026,9:00,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,1,13,13,Vi 小薇,Trà My 茶梅,25/10/2025,9:00,
10044,源宇宙原神.空月の歌·周边CD票根邮票组合套装,Source University Genshin thẻ CD,1,1,,Bội Anh 倍英,Trà My 茶梅,27/10/2025,9:00,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,,0,17,Mimi,Trà My 茶梅,28/10/2025,13:31,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,,0,15,Như 小如,Trà My 茶梅,28/10/2025,14:00,
10003,DUO米全新出品鬼灭之刃-柱合会议篇第二弹,DUO Kyn,1,13,,Như 小如,Hoàng Oanh黄莹,28/10/2025,8:20,
